index,in_data,u,g,r,Ha,i,r.Ha.i,Rne,coherent,shape,best_filter,comment
255,FALSE,,,,,,,,,,,
256,FALSE,,,,,,,,,,,
257,FALSE,,,,,,,,,,,
258,FALSE,,,,,,,,,,,
259,FALSE,,,,,,,,,,,
260,FALSE,,,,,,,,,,,
261,FALSE,,,,,,,,,,,
262,FALSE,,,,,,,,,,,
263,FALSE,,,,,,,,,,,
264,FALSE,,,,,,,,,,,
265,FALSE,,,,,,,,,,,
266,FALSE,,,,,,,,,,,
267,FALSE,,,,,,,,,,,
268,FALSE,,,,,,,,,,,
269,FALSE,,,,,,,,,,,
270,FALSE,,,,,,,,,,,
271,FALSE,,,,,,,,,,,
272,FALSE,,,,,,,,,,,
273,FALSE,,,,,,,,,,,
274,FALSE,,,,,,,,,,,
275,FALSE,,,,,,,,,,,
276,FALSE,,,,,,,,,,,
277,FALSE,,,,,,,,,,,
278,FALSE,,,,,,,,,,,
279,FALSE,,,,,,,,,,,
280,FALSE,,,,,,,,,,,
281,FALSE,,,,,,,,,,,
282,FALSE,,,,,,,,,,,
283,FALSE,,,,,,,,,,,
284,FALSE,,,,,,,,,,,
285,FALSE,,,,,,,,,,,
286,FALSE,,,,,,,,,,,
287,FALSE,,,,,,,,,,,
288,FALSE,,,,,,,,,,,
289,FALSE,,,,,,,,,,,
290,FALSE,,,,,,,,,,,
291,FALSE,,,,,,,,,,,
292,FALSE,,,,,,,,,,,
293,FALSE,,,,,,,,,,,
294,FALSE,,,,,,,,,,,
295,FALSE,,,,,,,,,,,
296,FALSE,,,,,,,,,,,
297,FALSE,,,,,,,,,,,
298,FALSE,,,,,,,,,,,
299,FALSE,,,,,,,,,,,
300,FALSE,,,,,,,,,,,
301,FALSE,,,,,,,,,,,
302,FALSE,,,,,,,,,,,
303,FALSE,,,,,,,,,,,
304,FALSE,,,,,,,,,,,
305,FALSE,,,,,,,,,,,
306,FALSE,,,,,,,,,,,
307,FALSE,,,,,,,,,,,
308,FALSE,,,,,,,,,,,
309,FALSE,,,,,,,,,,,
310,FALSE,,,,,,,,,,,
311,FALSE,,,,,,,,,,,
312,FALSE,,,,,,,,,,,
313,FALSE,,,,,,,,,,,
314,FALSE,,,,,,,,,,,
315,FALSE,,,,,,,,,,,
316,FALSE,,,,,,,,,,,
317,FALSE,,,,,,,,,,,
318,FALSE,,,,,,,,,,,
319,FALSE,,,,,,,,,,,
320,FALSE,,,,,,,,,,,
321,FALSE,,,,,,,,,,,
322,FALSE,,,,,,,,,,,
323,FALSE,,,,,,,,,,,
324,FALSE,,,,,,,,,,,
325,FALSE,,,,,,,,,,,
326,FALSE,,,,,,,,,,,
327,FALSE,,,,,,,,,,,
328,FALSE,,,,,,,,,,,
329,FALSE,,,,,,,,,,,
330,FALSE,,,,,,,,,,,
331,FALSE,,,,,,,,,,,
332,FALSE,,,,,,,,,,,
333,TRUE,no,no,no,no,no,no,1,,,,very bright star
334,TRUE,no,no,no,no,no,no,1,,,,very bright star
335,TRUE,no,faint,faint,faint,faint,faint,3,,,,is it nebulosity or light from the star?
336,TRUE,no,no,no,no,no,no,1,,,,
337,TRUE,no,no,no,no,no,no,1,,,,
338,TRUE,no,no,no,no,no,no,1,,,,
339,TRUE,no,no,no,no,no,no,1,,,,
340,FALSE,,,,,,,,,,,
341,TRUE,no,no,no,no,no,no,1,,,,very bright star
342,TRUE,no,no,no,no,no,no,1,,,,
343,TRUE,no,no,no,no,no,no,1,,,,
344,TRUE,no,no,no,no,no,no,1,,,,
345,TRUE,no,no,no,no,no,no,1,,,,
346,TRUE,no,no,no,no,no,no,1,,,,
347,TRUE,no,no,no,no,no,no,1,,,,
348,TRUE,no,no,no,no,no,no,1,,,,
349,TRUE,no,no,no,no,no,no,1,,,,
350,TRUE,no,no,no,no,no,no,1,,,,close to a very bright star
351,FALSE,,,,,,,,,,,
352,FALSE,,,,,,,,,,,
353,TRUE,no,no,no,no,no,no,1,,,,
354,TRUE,no,no,faint,no,faint,faint,2,,,,
355,TRUE,no,no,no,no,no,no,1,,,,
356,TRUE,no,no,no,no,no,no,1,,,,
357,TRUE,no,no,no,no,no,no,1,,,,
358,TRUE,no,no,no,no,no,no,1,,,,
359,FALSE,,,,,,,,,,,
360,FALSE,,,,,,,,,,,
361,TRUE,no,no,no,no,no,no,2,,,,
362,TRUE,no,no,no,no,no,no,1,,,,
363,TRUE,no,no,no,no,no,no,1,,,,
364,TRUE,no,no,faint,no,visible,visible,4,y,"tail, asymmetric",Ha,is it an artifact?
365,TRUE,no,no,no,no,faint,no,2,,,,
